Model,Days,Alpha,Total Irrigation (mm),P(s ≥ s*),P(s ≤ sfc),P(s ≥ sw),Violations,Return
DDPG-L,1,0.75,1393.9037349814334,0.7698630136986301,0.915068493150685,0.8136986301369863,183,
SAC-L,1,0.75,1658.0415266507598,0.8301369863013699,0.9698630136986301,1.0,73,
DDPG-L,1,0.85,1552.9579931519072,0.8356164383561644,0.9452054794520548,0.9013698630136986,116,
SAC-L,1,0.85,1737.1949787050582,0.863013698630137,0.958904109589041,0.9698630136986301,76,
DDPG-L,1,0.95,1783.699579166771,0.9452054794520548,0.9917808219178083,1.0,23,
SAC-L,1,0.95,1784.014846257306,0.9616438356164384,1.0,1.0,14,
DDPG,1,1.0,1735.9700831773152,0.9260273972602739,0.9616438356164384,1.0,41,
DDPG-L,1,1.0,1783.023096028472,0.9506849315068493,1.0,1.0,18,
SAC,1,1.0,2434.8977706540436,1.0,0.4191780821917808,1.0,212,
SAC-L,1,1.0,1810.4529246219936,0.9753424657534246,0.9342465753424658,1.0,33,
DDPG-L,3,0.75,1632.2310921677786,0.8402203856749312,0.953168044077135,0.9834710743801653,81,
SAC-L,3,0.75,1815.4383577057101,0.9807162534435262,0.9393939393939394,0.9972451790633609,30,
DDPG-L,3,0.85,1815.2495344838771,0.9972451790633609,0.9338842975206612,1.0,25,
SAC-L,3,0.85,1707.546552936195,0.9421487603305785,1.0,0.9834710743801653,27,
DDPG-L,3,0.95,1787.2210478380962,0.9862258953168044,0.9504132231404959,1.0,23,
SAC-L,3,0.95,1776.417308325557,0.9586776859504132,1.0,1.0,15,
DDPG,3,1.0,1778.3583869095253,0.8016528925619835,0.6556473829201102,0.9338842975206612,221,
DDPG-L,3,1.0,1800.5468516930646,0.9862258953168044,0.953168044077135,1.0,22,
SAC,3,1.0,1867.628636478906,1.0,0.8650137741046832,1.0,49,
SAC-L,3,1.0,1801.7396456322615,0.9972451790633609,0.9421487603305785,1.0,22,
DDPG-L,7,0.75,1247.0364861073879,0.6211699164345403,0.9972144846796658,0.8662952646239555,185,
SAC-L,7,0.75,1723.4943930525305,0.9387186629526463,0.9610027855153204,0.9860724233983287,41,
DDPG-L,7,0.85,1196.9265381339915,0.6100278551532033,0.9972144846796658,0.8662952646239555,189,
SAC-L,7,0.85,1809.3586426402887,0.9860724233983287,0.9693593314763231,1.0,16,
DDPG-L,7,0.95,1040.0430880836188,0.520891364902507,0.9972144846796658,0.8189415041782729,238,
SAC-L,7,0.95,1823.2870596693806,0.9972144846796658,0.9275766016713092,1.0,27,
DDPG,7,1.0,619.1384380585969,0.44846796657381616,0.9303621169916435,0.5738161559888579,376,
DDPG-L,7,1.0,1084.1856526385504,0.5571030640668524,0.9972144846796658,0.8356545961002786,219,
SAC,7,1.0,1447.693171910939,0.7938718662952646,0.9972144846796658,0.9498607242339833,93,
SAC-L,7,1.0,1807.1748476504554,0.9944289693593314,0.9442896935933147,1.0,22,
